BBEID,BBEScore,BBEVote,numRatings,ratingByStars,LikedPercent
228,59737,795,323164,"['69583', '107916', '99513', '35056', '11096']",86
229,59087,720,338863,"['143040', '126553', '54552', '11015', '3703']",96
230,58369,688,244242,"['89303', '82585', '48336', '16355', '7663']",90
231,57971,775,179500,"['66730', '60524', '38765', '9487', '3994']",92
232,57947,714,331949,"['166809', '99721', '45260', '12854', '7305']",94
233,57743,752,626689,"['194523', '235382', '146900', '33893', '15991']",92
234,57445,686,257383,"['160928', '60734', '23869', '6449', '5403']",95
235,56943,755,374236,"['212150', '100143', '46054', '10135', '5754']",96
236,56705,734,463525,"['220765', '152905', '63537', '14735', '11583']",94
237,56654,658,430888,"['146048', '122021', '100608', '41081', '21130']",86
238,56436,671,560175,"['190163', '180706', '127275', '42620', '19411']",89
239,56434,703,480909,"['209820', '155805', '86868', '21991', '6425']",94
240,56302,657,400761,"['221757', '119918', '44536', '9508', '5042']",96
241,55867,676,316234,"['108747', '106703', '67340', '22220', '11224']",89
242,54690,705,198779,"['71880', '66493', '45110', '11658', '3638']",92
243,54671,686,440572,"['189301', '151102', '76944', '16780', '6445']",95
244,54609,680,386881,"['146547', '123656', '86772', '21924', '7982']",92
245,54280,609,218214,"['94048', '79371', '32872', '8811', '3112']",95
246,53660,620,682555,"['308877', '225168', '101143', '28794', '18573']",93
247,53135,683,248800,"['145318', '75276', '23423', '3721', '1062']",98
248,52960,612,200639,"['86802', '70900', '29938', '9090', '3909']",94
249,52955,652,788274,"['424467', '279235', '70848', '10029', '3695']",98
250,52790,661,158429,"['57872', '48661', '31063', '12977', '7856']",87
251,52267,622,538472,"['207570', '137017', '101378', '50551', '41956']",83
252,52072,614,430068,"['159836', '112824', '93275', '39212', '24921']",85
253,51409,628,610392,"['266691', '220413', '91717', '22141', '9430']",95
254,51234,699,249132,"['87617', '91190', '51024', '13941', '5360']",92
255,51199,619,298919,"['122595', '103812', '51970', '14387', '6155']",93
256,50819,639,189801,"['88649', '66693', '26813', '5785', '1861']",96
257,50709,632,34893,"['30247', '3561', '782', '167', '136']",99
258,50100,658,146094,"['85617', '42483', '14464', '2384', '1146']",98
259,50005,652,498604,"['217202', '177547', '81265', '16145', '6445']",95
260,49956,596,215856,"['108212', '69315', '27984', '6807', '3538']",95
261,49644,618,275412,"['106287', '83997', '53775', '19431', '11922']",89
262,49491,638,291629,"['94509', '95477', '70357', '21647', '9639']",89
263,48808,573,146281,"['67064', '37842', '24911', '9789', '6675']",89
264,48400,621,645579,"['285844', '244733', '92292', '17502', '5208']",96
265,48243,557,315296,"['132707', '108492', '51037', '16281', '6779']",93
266,48197,600,321703,"['110200', '118568', '71368', '16250', '5317']",93
267,48005,620,2741134,"['1266466', '859538', '438340', '112847', '63943']",94
268,47672,547,416677,"['158432', '137225', '83212', '26253', '11555']",91
269,47581,536,546801,"['270173', '139882', '80118', '31753', '24875']",90
270,47570,684,315131,"['99073', '114139', '77115', '19456', '5348']",92
271,47531,491,2317,"['1376', '678', '164', '65', '34']",96
272,47375,557,919337,"['280793', '302511', '232162', '77816', '26055']",89
273,47256,605,176682,"['68579', '63406', '34834', '7773', '2090']",94
274,47165,581,484810,"['190970', '161993', '94645', '26248', '10954']",92
275,47126,601,132551,"['60057', '45066', '20246', '5291', '1891']",95
276,46840,643,180662,"['62209', '59294', '43231', '12422', '3506']",91
277,46527,578,100326,"['40013', '34895', '18204', '4932', '2282']",93
278,46411,554,289519,"['133589', '97119', '43401', '10702', '4708']",95
279,46087,565,429671,"['183871', '159275', '66399', '14471', '5655']",95
280,46018,583,878855,"['318776', '322679', '169307', '44022', '24071']",92
281,45727,578,369454,"['126526', '121343', '84373', '26765', '10447']",90
282,45654,636,197761,"['64766', '66283', '47665', '14114', '4933']",90
283,45600,510,151087,"['77965', '44331', '19820', '5767', '3204']",94
284,44792,542,242366,"['75804', '80135', '55143', '21396', '9888']",87
285,44539,580,174295,"['106394', '50294', '13807', '2329', '1471']",98
286,44189,582,219555,"['61203', '76798', '57691', '17711', '6152']",89
287,44080,619,378763,"['141532', '132371', '81135', '17162', '6563']",94
288,43994,556,156730,"['52712', '53367', '34344', '11460', '4847']",90
289,43719,533,2329146,"['946037', '842507', '371665', '107375', '61562']",93
290,43628,440,7554,"['2666', '3167', '1359', '261', '101']",95
291,43555,589,136884,"['45722', '42657', '31454', '11518', '5533']",88
292,43537,591,89814,"['40667', '27858', '14878', '4260', '2151']",93
293,43536,578,114546,"['58844', '37616', '14716', '2363', '1007']",97
294,43269,511,384727,"['162417', '128298', '64518', '19477', '10017']",92
295,42988,559,50163,"['32468', '11883', '4571', '741', '500']",98
296,42961,522,272208,"['93215', '101764', '57088', '14828', '5313']",93
297,42851,525,409745,"['190304', '132589', '62018', '16043', '8791']",94
298,42790,493,347307,"['124362', '136836', '64039', '16928', '5142']",94
299,42780,523,253046,"['107721', '89966', '40594', '10791', '3974']",94
300,42595,572,161199,"['62582', '65345', '26932', '4877', '1463']",96
301,42562,594,412817,"['119860', '159791', '106679', '21277', '5210']",94
302,42522,573,176769,"['90798', '60735', '21100', '3088', '1048']",98
303,41731,474,305688,"['125586', '116603', '46868', '12046', '4585']",95
304,41699,582,172541,"['63887', '56990', '40301', '8930', '2433']",93
305,41526,555,189270,"['63065', '64573', '45654', '11546', '4432']",92
306,41154,513,423962,"['216008', '129529', '58792', '14483', '5150']",95
307,41017,497,200234,"['69611', '70306', '42251', '12751', '5315']",91
308,40603,543,157871,"['50236', '51003', '35936', '13634', '7062']",87
309,40195,443,427730,"['289930', '99533', '27990', '7009', '3268']",98
310,39342,396,948,"['584', '107', '47', '17', '193']",78
311,39307,501,170636,"['45670', '55325', '43393', '17536', '8712']",85
312,39173,450,574854,"['239909', '187542', '100328', '30788', '16287']",92
313,38844,528,81708,"['37831', '27156', '12112', '3155', '1454']",94
314,38129,502,193840,"['93774', '63623', '27401', '6328', '2714']",95
315,38106,467,471423,"['138437', '171872', '111130', '36697', '13287']",89
316,37699,476,412823,"['239125', '124167', '40367', '6527', '2637']",98
317,37299,470,495821,"['183489', '164133', '106417', '28697', '13085']",92
318,37166,518,265773,"['126420', '95373', '36853', '5423', '1704']",97
319,36997,438,745051,"['307884', '178317', '139476', '71981', '47393']",84
320,36805,410,860699,"['435791', '271513', '106606', '31546', '15243']",95
321,36618,457,135624,"['53263', '42678', '26680', '8681', '4322']",90
322,36511,451,120014,"['78496', '24121', '11882', '3057', '2458']",95
323,36424,393,332646,"['248431', '56847', '17379', '6068', '3921']",97
324,36188,467,287970,"['71219', '103138', '75948', '26534', '11131']",87
325,36092,497,881406,"['262433', '295717', '223646', '66230', '33380']",89
